Feature,Importance
v_12,25.26488508116226
v_3,24.41221114438148
v_0,18.124106467020148
power,5.146436262754388
v_10,2.5963152514099677
kilometer,2.5624170480130566
v_1,2.538527516846571
v_6,2.363939918534722
age_segment,2.2525299789187603
v_14,2.0701765656666065
v_9,1.3182103076722635
v_8,1.0817766747033142
vehicle_age_days,0.8949566392306822
v_4,0.8583519824207846
reg_year,0.7763855812460984
brand_price_std,0.7732478015579921
vehicle_age_years,0.741642642539431
notRepairedDamage_freq,0.7356462815495255
car_age_from_now,0.7111590232065149
v_5,0.5814343604895427
model,0.5500318846158082
km_per_year,0.4000115054634769
v_13,0.39714981614340644
v_11,0.356157555733668
brand_price_ratio,0.3206843820262576
v_2,0.306679740668198
gearbox_freq,0.2954151515751058
bodyType,0.231936717651661
brand_price_count,0.19067504791449386
model_freq,0.17289645812199794
brand_model,0.10397858191610217
fuelType,0.0997526483030928
brand,0.09221334939607694
brand_freq,0.08436770858672382
model_num,0.08157953930718144
brand_price_median,0.06783017802775555
creat_month,0.05896703651764755
brand_price_mean,0.05771969018329039
reg_month,0.05631310929460006
v_7,0.05168338537355159
creat_season,0.0491532977126311
regionCode,0.048355929462275696
bodyType_freq,0.0338650360244736
fuelType_freq,0.031129869373584338
v_14_missing,0.030206852838074706
gearbox,0.015482012694068133
creat_day,0.00716724797590897
is_new_car,0.0026894977228438216
reg_day,0.000984933086202639
reg_season,0.00037143816794654104
kilometer_missing,9.360961466298569e-05
v_13_missing,8.375202597465071e-05
power_missing,1.6440401843054995e-05
v_12_missing,6.675540651520825e-08
v_0_outlier,0.0
kilometer_outlier,0.0
power_outlier,0.0
v_8_missing,0.0
v_11_missing,0.0
v_10_missing,0.0
v_9_missing,0.0
v_6_missing,0.0
v_5_missing,0.0
v_4_missing,0.0
v_3_missing,0.0
v_2_missing,0.0
v_1_missing,0.0
v_0_missing,0.0
creat_year,0.0
notRepairedDamage,0.0
v_7_missing,0.0
